Timestamp,EPC,RSSI,Session
2019-09-09 13:28:42.967,99250F6EB661953094DC77C7C23E21D14B0F6191,-66,S0
2019-09-09 13:28:42.998,BC80B599B1152FAA5607F9E8EA0A994785E03DCA,-64,S0
2019-09-09 13:28:43.017,A8AA10BB64DC0FFF810944FD550CCA90A45ABAF1,-65,S0
2019-09-09 13:28:43.024,0E561FEC33C9AD671143C81419F8F753D722985B,-67,S0
2019-09-09 13:28:43.039,A8AA10BB64DC0FFF810944FD550CCA90A45ABAF1,-66,S0
2019-09-09 13:28:43.055,99250F6EB661953094DC77C7C23E21D14B0F6191,-68,S0
2019-09-09 13:28:43.072,0E561FEC33C9AD671143C81419F8F753D722985B,-67,S0
2019-09-09 13:28:43.090,99250F6EB661953094DC77C7C23E21D14B0F6191,-69,S0
2019-09-09 13:28:43.106,8CF9EC3CB06DF23ABCC6B670DBC5FF9D2A4CFABD,-74,S0
2019-09-09 13:28:43.110,D6DBB1558A8C1D8A21A6AB8366855AB5AB93ECD2,-64,S0
2019-09-09 13:28:43.124,524B549FF8618E35055DE0ED89197E95BCE5F455,-64,S0
2019-09-09 13:28:43.141,D6DBB1558A8C1D8A21A6AB8366855AB5AB93ECD2,-64,S0
2019-09-09 13:28:43.159,C1C7D544A1EBB6C51DDAA5BEFA8471BC453DE4A9,-65,S0
2019-09-09 13:28:43.162,A8AA10BB64DC0FFF810944FD550CCA90A45ABAF1,-64,S0
2019-09-09 13:28:43.175,141590CF207E2B3B03BBEB7CD9BD77E19BEFC2D6,-67,S0
2019-09-09 13:28:43.178,524B549FF8618E35055DE0ED89197E95BCE5F455,-64,S0
2019-09-09 13:28:43.192,D6DBB1558A8C1D8A21A6AB8366855AB5AB93ECD2,-65,S0
2019-09-09 13:28:43.209,0E561FEC33C9AD671143C81419F8F753D722985B,-67,S0
2019-09-09 13:28:43.226,C1C7D544A1EBB6C51DDAA5BEFA8471BC453DE4A9,-62,S0
2019-09-09 13:28:43.243,6E7F0F8F868AD4A844A57061CDECA496B192947D,-72,S0
2019-09-09 13:28:43.260,C1C7D544A1EBB6C51DDAA5BEFA8471BC453DE4A9,-61,S0
2019-09-09 13:28:43.277,524B549FF8618E35055DE0ED89197E95BCE5F455,-66,S0
2019-09-09 13:28:43.294,C1C7D544A1EBB6C51DDAA5BEFA8471BC453DE4A9,-60,S0
2019-09-09 13:28:43.296,6E7F0F8F868AD4A844A57061CDECA496B192947D,-72,S0
2019-09-09 13:28:43.311,F3B084DCBAA6475FEDAD4D3F383C6C19BD77DD9C,-61,S0
2019-09-09 13:28:43.329,3FC16897980CCF26EDC7E3774189559CB169F2A5,-60,S0
2019-09-09 13:28:43.331,FA3038DEAE3792028A3E2317A52EC35AC6E52F63,-67,S0
2019-09-09 13:28:43.345,7EE310ED052B7627698048EDB1E65890BB492B61,-63,S0
2019-09-09 13:28:43.362,50EC00CAE30A027F2A5D72A7FF4AD7296F589851,-77,S0
2019-09-09 13:28:43.379,91FB298E5C573AE20DCFCA179478EDF83C1435EE,-73,S0
2019-09-09 13:28:43.396,C1C7D544A1EBB6C51DDAA5BEFA8471BC453DE4A9,-57,S0
2019-09-09 13:28:43.414,976CF8BFDC8AD72316B803D79FCC85650531C106,-62,S0
2019-09-09 13:28:43.430,C1C7D544A1EBB6C51DDAA5BEFA8471BC453DE4A9,-56,S0
2019-09-09 13:28:43.447,F659A083697731BFAD55D451B535A9FC9AF75EAC,-60,S0
