EPC,Article,Fixture
254394937A3AEEEEEEC8ECCFE7AF4B130F9ABBD2,21F8F72283DA2C01168659A34346925DE953C57C,1
EDDF767F240754F9FF8A71783EF94DB172A9CB54,21F8F72283DA2C01168659A34346925DE953C57C,1
A867718B4FC2658A5494781FB631921EDA3C6914,21F8F72283DA2C01168659A34346925DE953C57C,1
67C58CEE5BE520FE11573D2308DEEE3DB37319FB,21F8F72283DA2C01168659A34346925DE953C57C,1
9ED91A86D3858E7CEEE36D60E8E7F904E87CDE50,21F8F72283DA2C01168659A34346925DE953C57C,1
B4D100807752B299582EA14EBA42BAE53223F4C4,21F8F72283DA2C01168659A34346925DE953C57C,1
3E9322FF34BE975B417AAF263A0FE94E389F50B0,21F8F72283DA2C01168659A34346925DE953C57C,1
5E55F5439653E68BA6B1C15059DD72EC61D5DC16,21F8F72283DA2C01168659A34346925DE953C57C,1
7033D06D3F3F4A31B393D5B806CFA50263570624,21F8F72283DA2C01168659A34346925DE953C57C,1
B48CCF6A49C089635B1CAFFD3D33283F3037EA94,21F8F72283DA2C01168659A34346925DE953C57C,1
D2D29E2576A76E0693C74FC79CD5E124477773F3,21F8F72283DA2C01168659A34346925DE953C57C,1
813828E87AF39BE402759C0B3C936C274FA453BA,21F8F72283DA2C01168659A34346925DE953C57C,1
2055A4ACCCBBAC511E6F11476964D5818BC9C1C9,21F8F72283DA2C01168659A34346925DE953C57C,1
9B52C4A5379DFAE2BE78D79DC7A68066DAB789FA,21F8F72283DA2C01168659A34346925DE953C57C,1
BE6F95BCAD2C8DD49ED0A425E575C7E77601B29C,21F8F72283DA2C01168659A34346925DE953C57C,1
4BD113AC2F6AF16D119C1669331BBF2D5ACEEFEC,21F8F72283DA2C01168659A34346925DE953C57C,1
EAF8C9FC7E3ECFFA039C77A482E8EC006D44F424,21F8F72283DA2C01168659A34346925DE953C57C,1
E4E2812EEE5D8022F5EAB9DC750139D1FDDCD1C2,21F8F72283DA2C01168659A34346925DE953C57C,1
F8612CE97749ED3C69EE1FAEBBD8E92E1AA6E247,21F8F72283DA2C01168659A34346925DE953C57C,1
F017C04A1FBBD766E0567F50CCDB1E7C588CCEDA,21F8F72283DA2C01168659A34346925DE953C57C,1
8901A84D5F4EEEE9F99D41151DBFA3A6FA87E110,21F8F72283DA2C01168659A34346925DE953C57C,1
250071A987BA2A2BEEA255860AB5E5C80AD5BB63,21F8F72283DA2C01168659A34346925DE953C57C,1
9090D3254A7383344BFCAB3D465ECACFAE2F144A,21F8F72283DA2C01168659A34346925DE953C57C,1
E3B3679E0E822A8CC0BD49931A59671651B06AA2,21F8F72283DA2C01168659A34346925DE953C57C,1
54084F85A4FB21F2FC4783ADA3769C7A99C0F7A9,21F8F72283DA2C01168659A34346925DE953C57C,1
