EPC,Fixture
A79A3091912D87C30FA73154B8CB89BE2B266738,25
9AFA9F5DDB9D690CEB31B631BD587227339AFB88,25
9F0D39263BF9C68E64D8B8E2CB4EF6F259DC50A9,26
AE946473B3D4DB839EA5654B495AC08862E98316,26
ECEBBE0E2E2C989E5A01EFA81622A361D11E28B4,26
6CD54BC529BC1CD7BE1A22A9B4661E828600BEFF,26
5A46A3CA90CC7B78BFB48B5B32EAFA1C28C540F3,26
E1D698394159CC021EB270AD42998BFD5E733608,26
7CCEABAE476CE4E8A2C10A57A87F63C73BA8A314,27
1D5342A49A76F651E7DFAEDA6E1D7FF6AA755D8E,27
DD48A889AD23855B2F3647F932178942E7BDD1B1,27
D310702C1217D10F5D648C384E82E3ED2F038E24,27
4FE2762A3F8B68F2CCAE5645A10B610F10E931AA,28
31752BF6D14AF7F821BF0E6DCD84039FE3339D7C,28
C8A7F53A922F371F0E59E1ED93E47A062930CCCC,28
76688FCE4AFE44EE68EA9613CBE212501A7BBF40,28
F1C2ACC39D417C032697A19AB7603A3F19DA766D,29
DAB54543C873882FB0C5D764DE7BF72B508C966E,29
D6C26B8A905B511225E683D8449255A472F0EA40,29
745E1BA46C07068F88DAFAA393213118CAF7C28C,29
9DCC314A214CA570CC6A6D7179DC814FE2B99A05,30
EA3614F5A8CCA8DDE588841D9D8C694D68C60DED,30
02742A84636CF184E77826C788118252B18A985A,30
DDB997811892DE0BF09E0A4140494704CCCA4EFD,30
DAB9AFCD93AB178869F1128F879E2AA51C363567,30
C47A99D233956E0A346C3F57EE1F6D3DC57B4419,30
C6A23DCB11BE4C957ECD9775649387666C48A8CC,31
279E7E2D395C0A9DFC486CFC5E961043F827BB81,31
80921387EC3A6C839E4C40AC886C964812EF9265,31
ABC6714EE2B84579E2DCDC0563D111E85F2AAA98,31
AA9EBA053F62513374B967F8D06E6AACA39DE982,31
6E2A40EACD84706CEE0897AADC7C8E91162E3F64,31
F3931F3179D64BFB042DB4C09C79B014F2EAC9F4,32
C70DBDD221E43CCF2C5490FD678A1D1CF6FBD195,32
7FF4245BEDC8FA5CDBE74649FD6394D00B187F32,32
B326A2935F589A31552127E2B1C0B2AB6710CE95,32
3211A34F248B3B9DA64531FA76F98BFC0D3452A1,33
7A679217DCFEE15A09A91A9BA730BF9297BAF682,33
785ADF5434C089093117F41D6BB6C41544D76227,33
A823D670FF4F1F5C3661CC1CC3D3FD8A53950A50,33
E61F6BEE2D708BBC16E02DE21014F4EFAD4FC559,7
BB0C7DF0F2C6957798DD493DF6DA40E7ABDCFCC5,7
A14F88C6C9BE97E4FDAED0377E84970C0A1A4810,8
29313978DE8A6D5BD284454EAC14CCA21D41D146,8
578882305D6D2BF8109E0F0A3C687C09E60332B1,8
9073CCFD432CCE56AACF4A478B247851AFCEDF28,9
89A8FD6B916F7FADD0ADB9C668284B6A560ACD99,4
8C1319EEE7A6515FECF2DB720740771C7EF9BD22,3
33D7BA31F498D7928A53D973F117D061F42ABCC7,6
FA648A5980A8201E10949ED33E5DB917A29366A8,15
F7EA501B5BE7C0DED1FF94ACD8E767D18867A479,14
C3ABE595C8D0567C680785043BF0EA06843A73F4,16
10E7F639C83CAE195CD8E438E3F5A6401BA37A0C,17
C18D7300838299732815F51AAA27252C9BEB8964,20
C1D6862E5219BA86352663671AB0543FF15E17BA,21
B780D7E3408C1CF1C6A3C2D782D5513A8B53EE29,18
A73DD3A9F3A687634786162A6EBF59077DA9A005,33
A88BCC77DBBBAE4E34E43F69D472391D68BDFFC0,26
5E4FC067C7049AAF36EDAAE6F8AF96862EC6C23E,24
8686725AD309815F4CDA22B00D66112ACAB4F71B,32
90C903C6D118BAA52A9F6BFBFA1D50D1B721B6AB,30
CEC5C375C61BB3F6E4C7BE14CD960424877A19EC,14
7561D6A42174E0573349932324A66145512CE679,22
44DE95CB10CEDEB6CD496B83E3F041E03EB906F3,25
