EPC,Article,Fixture
C4400C2DC4FE7B0A1B3E97F5C38EDF74F0C6C1FA,0CB7B18B02EAAD85038B60D24B502EBB823AEB73,1
38240EE213E0D708286D67E73430F2893D45B5A7,0CB7B18B02EAAD85038B60D24B502EBB823AEB73,1
FB5182859084375CCBA49F2F431BFFCBD6DCEE18,0CB7B18B02EAAD85038B60D24B502EBB823AEB73,1
E085A5A59C5966D0DE1C87625811B5890CE8E57F,3CD878301B61A2217298E9EA283E397947322069,1
D009982F453701571A60A385A33C26373D834BC4,3552628F6EE3EDFCD9B69F49A366593B1BEA237F,1
8B8F86AEAFB44890B1F910908AE11B23DEC551B6,882925E72483A22C2D3A766458DCEC27737A9866,1
947A6CC455082C40E2BE331FCFCF684C5BDB06F5,882925E72483A22C2D3A766458DCEC27737A9866,1
18F25534CF797BBEC8AB3903DABE996E051992DF,3552628F6EE3EDFCD9B69F49A366593B1BEA237F,1
455D4FC1A643508FE3FF85FE6AE040407A9CBED9,E8C7A08A0C5EC0CB75FF342AE0FC484F66CF9C73,1
6FAE6A7A164114CDA28F087647688C6DFA871D25,E8C7A08A0C5EC0CB75FF342AE0FC484F66CF9C73,1
ACA7B9B8047CCAF7DCBE965CCCC5C7DADDBFC061,E8C7A08A0C5EC0CB75FF342AE0FC484F66CF9C73,1
BBC2DDBFE9190F4C24394942913459336F3D5C2A,E8C7A08A0C5EC0CB75FF342AE0FC484F66CF9C73,1
D329A9E3043EED80ED885F450E6073F1EC9DD2D7,E8C7A08A0C5EC0CB75FF342AE0FC484F66CF9C73,1
C041708C9354D400CE1CF6D7D94BE128BC1AD466,E8C7A08A0C5EC0CB75FF342AE0FC484F66CF9C73,1
E3A16516F9D9AEFB45F4872939E59F4B3E05B625,D293B6A493A312DD27EE2328EF61FCB40BB59185,1
77BA4E70F22218476B8F721470B0119121E36EF0,3552628F6EE3EDFCD9B69F49A366593B1BEA237F,1
A4720902895C3BAFDA0DEDD3A5E88F9E75CB054E,3552628F6EE3EDFCD9B69F49A366593B1BEA237F,1
CEF0A94F9A991E505E7631C318BE567635F07864,F82E17124E6A1B615939EA47D164716C5269BE91,1
755939DB5B9ABE73407C419F6D56E5B351F67687,F82E17124E6A1B615939EA47D164716C5269BE91,1
D404D740A71A5A1606BDBCE5D21D0394C4D6695C,D293B6A493A312DD27EE2328EF61FCB40BB59185,1
75D22F4D164E8EA1EDEFC2469BCCA52A3C10C570,F82E17124E6A1B615939EA47D164716C5269BE91,1
D33477847449841BBD8BDF5BB6236C400EC689EE,D293B6A493A312DD27EE2328EF61FCB40BB59185,1
71FE74DA14A42A5F4AD745EDA5A7096061678E60,D293B6A493A312DD27EE2328EF61FCB40BB59185,1
69019C8CBD795D03ED2BFBF469E5B80C97997480,D293B6A493A312DD27EE2328EF61FCB40BB59185,1
19B477C5C55F9BCDC9559199ADA034E51DB316BE,D293B6A493A312DD27EE2328EF61FCB40BB59185,1
E5A3175D94B9F9714138C0D239A593B4A5994FBD,F82E17124E6A1B615939EA47D164716C5269BE91,1
BAE9FB4E1873B7443159C3A6A6D46698125D06C6,F82E17124E6A1B615939EA47D164716C5269BE91,1
C21846B9EBEB88B54B81A8314FCB9829F9AAEE89,0013275EBEC4E4793AE84117B04DBC37E8460E40,1
71B0AFA2B922FC02CA41DB2DA714014D9602F94C,0013275EBEC4E4793AE84117B04DBC37E8460E40,1
A2543B4DE1599B1E041FADC03B8DDA5D75211798,0013275EBEC4E4793AE84117B04DBC37E8460E40,1
50BC438D0A502D6B0DB9A56643E3B8E131BF1B6A,0013275EBEC4E4793AE84117B04DBC37E8460E40,1
D7A71C8EC82F57D2DAFA902AF03BAE54D4253179,D7CA2719BED5DEF145D562839BA4CD458F6297CC,1
47D4AAF62F1F2090531EEC88176FCB5CD8DD811D,D7CA2719BED5DEF145D562839BA4CD458F6297CC,1
61C6AF593DFB1C27D6D022BE7FE099688584C8B9,D7CA2719BED5DEF145D562839BA4CD458F6297CC,1
6EBD6DF289F142AD1C77A6A38BB7C52B59FCA442,D7CA2719BED5DEF145D562839BA4CD458F6297CC,1
9E1303C88451C0B3158ECC3A02AF6D03E04EB5AF,D7CA2719BED5DEF145D562839BA4CD458F6297CC,1
28DB15FD4B07158688D79FCEC2DBC9EA9B506460,D7CA2719BED5DEF145D562839BA4CD458F6297CC,1
F240BD104EA896634D79183E5CEFA8E3E1278CFA,D7CA2719BED5DEF145D562839BA4CD458F6297CC,1
7D961FB2246B8AA698C8F795E02A45985CA3A75E,D7CA2719BED5DEF145D562839BA4CD458F6297CC,1
ACB5A11975C5869613C96736D9D199147C03CA90,D7CA2719BED5DEF145D562839BA4CD458F6297CC,1
696097F5786AF6EA1E97B6DD39879D891A9B40A7,D7CA2719BED5DEF145D562839BA4CD458F6297CC,1
D83A52AA252660D155DACE7D42234559BA21F96D,3552628F6EE3EDFCD9B69F49A366593B1BEA237F,1
3D598FA135CB6A8979D7B69400E0B8A43E3AD3CE,3CD878301B61A2217298E9EA283E397947322069,1
6CC47B477FBFDB8F375677A770E18A7617D4CB11,65681BD74E28649B2AD865785211B1D49A061C55,1
38B5BDE16C94D6D9FD0AB5557BB6E8A31DDDE296,882925E72483A22C2D3A766458DCEC27737A9866,1
C0748ECB5A8DCB0CE9A75CC2698E068A512EE66B,882925E72483A22C2D3A766458DCEC27737A9866,1
99B30CC6E3FE8699C9A40455CB90CBA87BD0D1C7,882925E72483A22C2D3A766458DCEC27737A9866,1
8FF21EB1EFB2C4E33B5929B6A79B822AC76750D9,3D1B4E55CBBB1EAF42E3D209ADA91EFB0A86464A,10
957507893F3D46A4A3E151B1326F7BC9A0B9D6B9,B37055866C11EE4CEFA226B816DE69FF5A0DA55F,10
